Category,State/UT,By Consuming Sleeping Pills_Male,By Consuming Sleeping Pills_Female,By Consuming Sleeping Pills_Trans,By Consuming Sleeping Pills_Total,By Drowning_Male,By Drowning_Female,By Drowning_Trans,By Drowning_Total,By Fire/Self Immolation_Male,By Fire/Self Immolation_Female,By Fire/Self Immolation_Trans,By Fire/Self Immolation_Total,By Firearms_Male,By Firearms_Female,By Firearms_Trans,By Firearms_Total,By Hanging_Male,By Hanging_Female,By Hanging_Trans,By Hanging_Total,By Poison (Total)_Male,By Poison (Total)_Female,By Poison (Total)_Trans,By Poison (Total)_Total,By Poison (By Consuming Insecticides)_Male,By Poison (By Consuming Insecticides)_Female,By Poison (By Consuming Insecticides)_Trans,By Poison (By Consuming Insecticides)_Total,By Poison (By Consuming other Poison)_Male,By Poison (By Consuming other Poison)_Female,By Poison (By Consuming other Poison)_Trans,By Poison (By Consuming other Poison)_Total,By Self Inflicting  Injury_Male,By Self Inflicting  Injury_Female,By Self Inflicting  Injury_Trans,By Self Inflicting  Injury_Total,Jumping (Total)_Male,Jumping (Total)_Female,Jumping (Total)_Trans,Jumping (Total)_Total,Jumping (from Building)_Male,Jumping (from Building)_Female,Jumping (from Building)_Trans,Jumping (from Building)_Total,Jumping (from Other Sites)_Male,Jumping (from Other Sites)_Female,Jumping (from Other Sites)_Trans,Jumping (from Other Sites)_Total,Jumping (by Jumping off Moving Trains/Vehicles)_Male,Jumping (by Jumping off Moving Trains/Vehicles)_Female,Jumping (by Jumping off Moving Trains/Vehicles)_Trans,Jumping (by Jumping off Moving Trains/Vehicles)_Total,By Coming under Running Vehicles/Trains_Male,By Coming under Running Vehicles/Trains_Female,By Coming under Running Vehicles/Trains_Trans,By Coming under Running Vehicles/Trains_Total,By Touching Electric Wire_Male,By Touching Electric Wire_Female,By Touching Electric Wire_Trans,By Touching Electric Wire_Total,By Other Means_Male,By Other Means_Female,By Other Means_Trans,By Other Means_Total,Total_Male,Total_Female,Total_Trans,Total_Total,Total population
State,MAHARASHTRA,29,32,0,61,763,397,0,1160,187,287,0,474,14,3,0,17,9205,2397,2,11604,3613,1166,0,4779,3083,1022,0,4105,530,144,0,674,60,31,0,91,206,57,0,263,105,48,0,153,26,4,0,30,75,5,0,80,253,49,0,302,44,6,0,50,92,23,0,115,14466,4448,2,18916,123144223
State,MANIPUR,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,28,18,0,46,5,4,0,9,3,2,0,5,2,2,0,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,22,0,58,3091545
State,MEGHALAYA,0,0,0,0,8,1,0,9,2,0,0,2,0,0,0,0,151,30,0,181,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,2,165,33,0,198,3366710
State,MIZORAM,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,51,16,0,67,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,16,0,70,1239244
State,NAGALAND,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,2,33,5,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,0,41,2249695
State,ODISHA,3,1,0,4,85,107,0,192,7,117,0,124,2,1,0,3,1214,612,0,1826,1114,1074,0,2188,176,141,0,317,938,933,0,1871,2,1,0,3,4,4,0,8,1,0,0,1,0,0,0,0,3,4,0,7,114,18,0,132,0,0,0,0,51,51,0,102,2596,1986,0,4582,46356334
State,PUNJAB,35,11,0,46,106,28,0,134,15,14,0,29,24,3,0,27,799,259,1,1059,338,133,0,471,280,102,0,382,58,31,0,89,14,0,0,14,42,14,0,56,39,11,0,50,3,0,0,3,0,3,0,3,386,51,0,437,32,16,0,48,26,10,0,36,1817,539,1,2357,30141373
State,RAJASTHAN,38,6,0,44,278,106,0,384,69,49,0,118,21,1,0,22,1903,728,0,2631,512,210,0,722,200,98,0,298,312,112,0,424,40,16,0,56,167,27,0,194,66,10,0,76,36,5,0,41,65,12,0,77,180,35,0,215,70,28,0,98,24,23,0,47,3302,1229,0,4531,81032689
State,SIKKIM,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,157,57,0,214,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,2,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,162,58,0,220,690251
State,TAMIL NADU,48,18,0,66,344,215,0,559,557,628,0,1185,5,0,0,5,5260,2082,5,7347,2859,1206,3,4068,1969,804,2,2775,890,402,1,1293,26,1,0,27,35,75,0,110,35,74,0,109,0,1,0,1,0,0,0,0,63,20,0,83,29,3,0,32,9,2,0,11,9235,4250,8,13493,77841267
State,TELANGANA,21,6,0,27,305,107,0,412,37,180,0,217,1,1,0,2,1979,631,1,2611,2546,910,0,3456,2332,785,0,3117,214,125,0,339,1,0,0,1,229,54,0,283,210,54,0,264,19,0,0,19,0,0,0,0,390,37,0,427,0,0,0,0,103,136,0,239,5612,2062,1,7675,39362732
